Player,G,MP,PTS,3P,ORB,DRB,AST,TOV,STL,BLK
Al Horford,77,35.5,16.5,0,2.5,7.2,3.4,1.9,1,1.2
Al Jefferson,78,32.7,19.9,0,2,8,2.1,1.6,1,1.1
Andre Drummond,80,33,15.9,0,5.2,8.6,1.1,1.6,1.3,1.9
Andrea Bargnani,42,15.6,6.8,0.3,0.8,1.9,0.6,0.7,0.3,0.6
Avery Bradley,76,32.4,14.9,1.8,0.6,2.8,1.9,1.5,1.2,0.3
Brook Lopez,82,34.8,19.6,0,2.4,3.9,1.5,2.1,0.6,1.9
Carl Landry,81,30.2,16.2,0,2.2,3.6,0.8,1.7,0.6,0.7
Chris Paul,82,34.3,18,1.7,0.6,3.9,9.7,2.3,2,0.2
Cody Zeller,78,20,8.3,0,1.5,3.6,1.7,1.1,0.6,0.5
David Lee,78,36.1,17.8,0,2.7,8.2,3.2,2.5,0.8,0.3
Dennis Schroder,72,22.3,10.4,0.6,0.6,2.2,4.2,1.9,0.8,0.2
Deron Williams,78,35.8,17.9,2.1,0.4,2.6,7.3,2.7,1.2,0.4
Derrick Rose,81,37.1,24.2,1.5,0.9,3,7.3,3.4,1,0.6
Draymond Green,80,31.3,13.4,1.5,1.6,5.9,3.3,1.7,1.6,1.3
Dwight Howard,76,35.5,16.7,0,3.2,9,1.7,3,1.1,2.4
Dwyane Wade,68,34,19.7,0.4,1.2,3.4,4.9,3,1.8,0.8
Evan Fournier,74,23.5,12,1.3,0.8,2.5,1.8,1.4,0.7,0.3
Giannis Antetokounmpo,77,32.7,14.5,0.5,1.4,5,1.8,2.1,0.7,0.8
Hassan Whiteside,45,27.8,10.7,0,3,7.5,1.3,1.3,0.8,1.7
Hollis Thompson,72,25.5,7.1,1.6,1,2.5,1.7,1,0.9,0.4
Isaiah Thomas,78,33,19.6,1.8,0.7,2.4,5.4,2.7,1.3,0.2
JR Smith,80,33,17.2,2.3,0.8,4.4,2.6,1.6,1.2,0.3
Jae Crowder,80,21.6,10.3,1,1.1,2.8,1.4,0.7,1,0.5
Jared Sullinger,72,29,16,1,3.2,4.7,1.9,1.7,0.8,0.8
Jeff Teague,79,33.2,16.5,1.2,0.5,2.3,6.9,2.9,1.6,0.5
Jeremy Lamb,76,21.6,10.3,1.4,0.6,2.4,1.8,0.9,0.9,0.3
Jeremy Lin,81,33.2,14.3,1.2,0.5,2.9,5.7,2.9,1.7,0.4
Jimmy Butler,81,33,17.2,1.1,1.5,3.4,2.7,1.3,1.6,0.5
Joakim Noah,80,34.9,12.4,0,3.4,7.6,5.3,2.4,1.2,1.7
Joe Johnson,79,34.4,14.4,1.9,0.6,4.1,3.5,1.7,0.7,0.2
Kawhi Leonard,65,32.3,18.1,1.2,1.7,6.1,2.6,1.6,2.3,0.9
Kendall Marshall,50,33,8.3,1.6,0.7,3.2,8.5,2.8,1.2,0.3
Kent Bazemore,73,19.2,8.6,0.9,0.6,2.9,1.5,1.2,0.9,0.6
Kevin Durant,81,38.2,31.4,2.3,0.7,7.2,5.4,3.5,1.4,1.3
Kevin Garnett,53,20.5,6.3,0,1.1,5.5,1.5,1.3,0.9,0.7
Kevin Love,77,36,25.5,2.4,4.1,9.9,4.3,2.5,0.7,0.5
Kirk Hinrich,72,28.6,8.6,1.1,0.4,2.1,4.1,1.6,1.1,0.4
Kyle Korver,74,31.7,11.5,2.8,0.3,3.6,2.7,1.4,0.9,0.6
Lebron James,77,37.2,26,1.5,1.2,6.6,6.9,3.4,1.7,0.8
Monta Ellis,82,37,18.2,1.1,0.5,3.2,5.7,3.1,2,0.4
Nicolas Batum,82,35.8,12.6,2,1.3,5.9,4.9,2.5,1.1,1
Pau Gasol,77,33.9,17.2,0.1,2.6,8.8,2.6,2,0.3,1.8
Rajon Rondo,68,29.5,8.7,0.4,1.1,4.3,7.8,3.1,1.3,0.1
Richard Jefferson,81,26.5,9.4,1.4,0.3,2.4,1.5,1.1,0.6,0.2
Robert Covington,66,30.1,15.8,1.6,1.2,3.6,1.4,1.8,1.3,0.7
Rudy Gobert,76,28.1,10.3,0,2.9,6.3,1.8,1.3,0.8,1.4
Russell Westbrook,82,34.6,22.5,1.2,1.4,4.3,7.8,3.8,1.8,0.3
Steph Curry,80,37.6,23.6,3.5,0.8,3.6,7.9,3.7,2.1,0.3
Terrence Jones,74,28.5,14.6,0.7,2.3,4.6,1.4,1.1,0.9,1.4
Thaddeus Young,82,32.8,17,1.1,2.2,4.6,2.2,2,2,0.7
Thomas Robinson,68,17.3,8.6,0.4,2,3.2,1.1,1.4,0.8,0.6
Tim Duncan,75,27.7,14.2,0,2.2,7.3,2.9,2,0.8,1.9
Tony Allen,78,26.5,8.6,0,1.4,3,1.2,1.2,1.6,0.5
Tony Wroten,70,26.8,14.3,0.9,1.2,2.5,3.1,2.9,1.3,0.3
Tristan Thompson,81,32.7,13.6,0.2,3.7,6.2,1.5,1.6,0.9,0.9
Victor Oladipo,73,34.8,14.9,0.8,0.8,3.6,4.2,3.1,1.6,0.5
