Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2001-02,21,MEM,NBA,C,82,79,3007,551,1064,0.518,1,5,0.2,550,1059,0.519,0.518,338,477,0.709,238,492,730,223,41,169,224,195,1441
2002-03,22,MEM,NBA,PF,82,82,2948,569,1116,0.51,1,10,0.1,568,1106,0.514,0.51,416,565,0.736,192,528,720,229,34,148,213,220,1555
2003-04,23,MEM,NBA,PF,78,78,2458,506,1049,0.482,4,15,0.267,502,1034,0.485,0.484,365,511,0.714,206,394,600,198,44,132,187,185,1381
2004-05,24,MEM,NBA,PF,56,53,1790,357,695,0.514,1,6,0.167,356,689,0.517,0.514,282,367,0.768,130,280,410,135,37,93,137,146,997
2005-06 ★,25,MEM,NBA,PF,80,80,3135,600,1194,0.503,3,12,0.25,597,1182,0.505,0.504,425,617,0.689,191,522,713,371,46,153,235,184,1628
2006-07,26,MEM,NBA,C,59,59,2133,462,858,0.538,3,11,0.273,459,847,0.542,0.54,299,400,0.748,149,432,581,201,29,126,162,137,1226
2007-08,27,TOT,NBA,C,66,66,2351,475,890,0.534,4,16,0.25,471,874,0.539,0.536,292,362,0.807,155,398,553,211,30,98,124,139,1246
2008-09 ★,28,LAL,NBA,C,81,81,2999,592,1045,0.567,1,2,0.5,591,1043,0.567,0.567,343,439,0.781,262,518,780,284,52,81,157,172,1528
2009-10 ★,29,LAL,NBA,C,65,65,2403,452,844,0.536,0,5,0,452,839,0.539,0.536,286,362,0.79,243,491,734,218,37,113,143,152,1190
2010-11 ★,30,LAL,NBA,C,82,82,3037,593,1120,0.529,1,3,0.333,592,1117,0.53,0.53,354,430,0.823,268,568,836,273,48,130,142,203,1541
2011-12,31,LAL,NBA,PF,65,65,2430,459,917,0.501,7,27,0.259,452,890,0.508,0.504,204,261,0.782,183,495,678,237,37,88,142,127,1129
2012-13,32,LAL,NBA,PF,49,42,1655,270,579,0.466,8,28,0.286,262,551,0.475,0.473,125,178,0.702,111,310,421,200,24,61,104,93,673
2013-14,33,LAL,NBA,C,60,60,1884,425,885,0.48,4,14,0.286,421,871,0.483,0.482,187,254,0.736,124,456,580,201,27,92,141,124,1041
2014-15 ★,34,CHI,NBA,PF,78,78,2681,570,1153,0.494,12,26,0.462,558,1127,0.495,0.5,294,366,0.803,220,699,919,210,25,147,158,147,1446
2015-16,35,CHI,NBA,C,18,18,524,110,249,0.442,1,8,0.125,109,241,0.452,0.444,45,60,0.75,39,155,194,48,13,39,26,36,266
